Wall time,Step,Value
1527184226.7647953,49,30975.39453125
1527184254.7624702,99,13949.708984375
1527184283.0736158,149,9054.818359375
1527184310.7484417,199,7189.5068359375
1527184341.9970393,249,6445.61328125
1527184383.7525125,299,4226.5322265625
1527184427.6471171,349,5197.79296875
1527184473.132168,399,4601.578125
1527184504.6466691,449,2628.801025390625
1527184532.7547207,499,3663.560546875
1527184560.8449366,549,3307.1728515625
1527184589.1046128,599,1892.22705078125
1527184616.7840962,649,2827.765869140625
1527184644.8840027,699,2747.885986328125
1527184673.2106967,749,3827.926025390625
1527184701.2965765,799,3079.17236328125
1527184729.0690515,849,2605.382080078125
1527184757.2050493,899,1624.442138671875
1527184785.4530094,949,2150.9404296875
1527184813.3020482,999,2025.193603515625
