Wall time,Step,Value
1527183181.050937,49,31682.380859375
1527183214.1486883,99,4630.603515625
1527183247.523456,149,1876.869873046875
1527183280.8575108,199,2783.0458984375
1527183314.6343555,249,2408.191650390625
1527183347.8206716,299,2464.60546875
1527183381.212136,349,905.9838256835938
1527183415.4344673,399,1365.5045166015625
1527183449.3046472,449,926.265625
1527183483.069756,499,565.8310546875
1527183516.9201477,549,1192.073486328125
1527183550.6979399,599,1160.1202392578125
1527183584.4290106,649,1406.27734375
1527183618.2124183,699,558.9841918945312
1527183652.114929,749,961.4188842773438
1527183686.0458996,799,676.3202514648438
1527183719.9643009,849,404.13714599609375
1527183754.0935423,899,833.669921875
1527183788.358378,949,880.1658935546875
1527183822.2768419,999,1013.1182861328125
